Атакующий_1_ID;Атакующий_2_ID;Атакующий_3_ID;Атакующий_4_ID;Атакующий_5_ID;Винрейт_%;Всего_Боев;Средние_Баннеры;Сезон;;
MONMOTHMA;CARADUNE;KYLEKATARN;LUTHENRAEL;PAO;100;120;64.76;Season 78 - 5v5;;
MONMOTHMA;CARADUNE;KYLEKATARN;LUTHENRAEL;PAO;100;120;64.76;Season 78 - 5v5;;
MONMOTHMA;BISTAN;CARADUNE;KYLEKATARN;LUTHENRAEL;100;100;62.84;Season 78 - 5v5;;
MONMOTHMA;BIGGSDARKLIGHTER;KYLEKATARN;LUTHENRAEL;WEDGEANTILLES;99;300;63;Season 78 - 5v5;;
MONMOTHMA;ADMINISTRATORLANDO;CARADUNE;KYLEKATARN;LUTHENRAEL;99;115;61.63;Season 78 - 5v5;;
MONMOTHMA;CARADUNE;CHIRRUTIMWE;KYLEKATARN;LUTHENRAEL;98;127;61.78;Season 78 - 5v5;;
MONMOTHMA;BAZEMALBUS;CHIRRUTIMWE;KYLEKATARN;LUTHENRAEL;98;203;61.37;Season 78 - 5v5;;
MONMOTHMA;CARADUNE;KYLEKATARN;LUTHENRAEL;PAO;97;117;62.19;Season 78 - 5v5;;
MONMOTHMA;HOTHREBELSCOUT;KYLEKATARN;LUTHENRAEL;PAO;96;120;61.51;Season 78 - 5v5;;
MONMOTHMA;CARADUNE;KYLEKATARN;LUTHENRAEL;PAO;96;457;59.62;Season 78 - 5v5;;
MONMOTHMA;CARADUNE;KYLEKATARN;LUTHENRAEL;SAWGERRERA;95;158;59.54;Season 78 - 5v5;;
MONMOTHMA;BIGGSDARKLIGHTER;KYLEKATARN;LUTHENRAEL;WEDGEANTILLES;94;110;59.77;Season 78 - 5v5;;
MONMOTHMA;HOTHREBELSCOUT;KYLEKATARN;LUTHENRAEL;PAO;87;410;53.65;Season 78 - 5v5;;
MONMOTHMA;CARADUNE;HOTHREBELSCOUT;KYLEKATARN;LUTHENRAEL;81;110;48.95;Season 78 - 5v5;;
MONMOTHMA;CARADUNE;KYLEKATARN;LUTHENRAEL;PAO;73;144;46.62;Season 78 - 5v5;;
BADBATCHHUNTER;BADBATCHECHO;BADBATCHOMEGA;BADBATCHTECH;BADBATCHWRECKER;100;186;63.42;Season 78 - 5v5;;
BADBATCHHUNTER;BADBATCHECHO;BADBATCHOMEGA;BADBATCHTECH;BADBATCHWRECKER;100;186;63.42;Season 78 - 5v5;;
BADBATCHHUNTER;BADBATCHECHO;BADBATCHOMEGA;BADBATCHTECH;BADBATCHWRECKER;100;129;64.91;Season 78 - 5v5;;                                                                                                                      
GRANDMASTERLUKE;GRANDMASTERYODA;HERMITYODA;JEDIKNIGHTCAL;JEDIKNIGHTLUKE;100;252;64.72;Season 78 - 5v5;;
GRANDMASTERLUKE;GRANDMASTERYODA;HERMITYODA;JEDIKNIGHTCAL;JEDIKNIGHTLUKE;100;252;64.72;Season 78 - 5v5;;
GRANDMASTERLUKE;HERMITYODA;JEDIKNIGHTCAL;JEDIKNIGHTLUKE;JEDIKNIGHTREVAN;99;477;64.08;Season 78 - 5v5;;
GRANDMASTERLUKE;HERMITYODA;JEDIKNIGHTCAL;JEDIKNIGHTLUKE;JEDIKNIGHTREVAN;98;166;53.05;Season 78 - 5v5;;
BAYLANSKOLL;HONDO;MARROK;QIRA;SHINHATI;100;191;64.94;Season 78 - 5v5;;
BAYLANSKOLL;HONDO;MARROK;QIRA;SHINHATI;100;191;64.94;Season 78 - 5v5;;
BAYLANSKOLL;DASHRENDAR;HONDO;MARROK;SHINHATI;98;389;64.01;Season 78 - 5v5;;
BAYLANSKOLL;DENGAR;HONDO;MARROK;SHINHATI;98;1745;63.78;Season 78 - 5v5;;
BAYLANSKOLL;DENGAR;HONDO;MARROK;SHINHATI;98;2923;63.7;Season 78 - 5v5;;
BAYLANSKOLL;DASHRENDAR;DENGAR;MARROK;SHINHATI;98;494;63.43;Season 78 - 5v5;;
BAYLANSKOLL;DENGAR;HONDO;MARROK;SHINHATI;98;1215;63.54;Season 78 - 5v5;;
BAYLANSKOLL;DENGAR;HONDO;MARROK;SHINHATI;98;233;63.39;Season 78 - 5v5;;
BAYLANSKOLL;DENGAR;HONDO;MARROK;SHINHATI;98;217;63.34;Season 78 - 5v5;;
BAYLANSKOLL;DENGAR;HONDO;MARROK;SHINHATI;98;575;63.41;Season 78 - 5v5;;
BAYLANSKOLL;DASHRENDAR;HONDO;MARROK;SHINHATI;83;185;53.71;Season 78 - 5v5;;
BAYLANSKOLL;DASHRENDAR;HONDO;MARROK;SHINHATI;81;179;52.55;Season 78 - 5v5;;
BAYLANSKOLL;DENGAR;HONDO;MARROK;SHINHATI;71;409;44.55;Season 78 - 5v5;;
PAZVIZSLA;THEMANDALORIANBESKARARMOR;SUPREMELEADERKYLOREN;DARKREY;FOSITHTROOPER;100;179;67.79;Season 78 - 5v5;;
MANDALORBOKATAN;BOKATAN;IG12;PAZVIZSLA;THEMANDALORIANBESKARARMOR;92;100;59.11;Season 78 - 5v5;;
MANDALORBOKATAN;BOKATAN;IG12;PAZVIZSLA;THEMANDALORIANBESKARARMOR;91;146;59.29;Season 78 - 5v5;;
MANDALORBOKATAN;BOKATAN;IG12;PAZVIZSLA;THEMANDALORIANBESKARARMOR;91;265;57.99;Season 78 - 5v5;;
MANDALORBOKATAN;BOKATAN;IG12;PAZVIZSLA;THEMANDALORIANBESKARARMOR;88;126;56;Season 78 - 5v5;;
MANDALORBOKATAN;BOKATAN;IG12;PAZVIZSLA;THEMANDALORIANBESKARARMOR;86;169;53.86;Season 78 - 5v5;;
CAPTAINENOCH;DEATHTROOPERPERIDEA;NIGHTTROOPER;SCOUTTROOPER_V3;TIEFIGHTERPILOT;96;125;62.3;Season 78 - 5v5;;
CAPTAINENOCH;DEATHTROOPERPERIDEA;NIGHTTROOPER;SCOUTTROOPER_V3;TIEFIGHTERPILOT;95;169;60.86;Season 78 - 5v5;;
STRANGER;BARRISSOFFEE;MAULS7;STARKILLER;VISASMARR;90;325;56.14;Season 78 - 5v5;;
STRANGER;BARRISSOFFEE;MAULS7;STARKILLER;VISASMARR;90;325;56.14;Season 78 - 5v5;;
STRANGER;GENERALSKYWALKER;MAULHATEFUELED;STARKILLER;VISASMARR;89;275;57.53;Season 78 - 5v5;;
STRANGER;GENERALSKYWALKER;MAULHATEFUELED;STARKILLER;VISASMARR;73;347;45.18;Season 78 - 5v5;;
STRANGER;BARRISSOFFEE;MAULS7;STARKILLER;VISASMARR;72;237;44.62;Season 78 - 5v5;;
STRANGER;GENERALSKYWALKER;MAULHATEFUELED;STARKILLER;VISASMARR;72;773;44.16;Season 78 - 5v5;;
STRANGER;BARRISSOFFEE;MAULHATEFUELED;STARKILLER;VISASMARR;71;2368;44.1;Season 78 - 5v5;;
STRANGER;BARRISSOFFEE;MAULHATEFUELED;STARKILLER;VISASMARR;70;1463;44.99;Season 78 - 5v5;;
TRENCH;COUNTDOOKU;DROIDEKA;JANGOFETT;NUTEGUNRAY;100;109;64.97;Season 78 - 5v5;;
TRENCH;COUNTDOOKU;DROIDEKA;JANGOFETT;NUTEGUNRAY;100;109;64.97;Season 78 - 5v5;;
TRENCH;COUNTDOOKU;GEONOSIANBROODALPHA;JANGOFETT;NUTEGUNRAY;99;310;64.79;Season 78 - 5v5;;
TRENCH;COUNTDOOKU;GEONOSIANBROODALPHA;JANGOFETT;NUTEGUNRAY;99;260;60.05;Season 78 - 5v5;;
TRENCH;COUNTDOOKU;JANGOFETT;NUTEGUNRAY;WATTAMBOR;99;747;64.72;Season 78 - 5v5;;
TRENCH;ASAJVENTRESS;COUNTDOOKU;JANGOFETT;NUTEGUNRAY;98;173;60.13;Season 78 - 5v5;;
TRENCH;ASAJVENTRESS;COUNTDOOKU;JANGOFETT;NUTEGUNRAY;98;154;64.12;Season 78 - 5v5;;
TRENCH;COUNTDOOKU;JANGOFETT;NUTEGUNRAY;WATTAMBOR;96;159;59.92;Season 78 - 5v5;;
TRENCH;COUNTDOOKU;JANGOFETT;NUTEGUNRAY;WATTAMBOR;95;655;56.84;Season 78 - 5v5;;
NIGHTSISTERZOMBIE;GENERALSKYWALKER;CT5555;CT7567;MOTHERTALZIN;100;230;68.49;Season 78 - 5v5;;
MOTHERTALZIN;ASAJVENTRESS;DAKA;MERRIN;NIGHTSISTERZOMBIE;100;110;64.04;Season 78 - 5v5;;
MOTHERTALZIN;ASAJVENTRESS;DAKA;MERRIN;NIGHTSISTERZOMBIE;100;104;65;Season 78 - 5v5;;
MOTHERTALZIN;ASAJVENTRESS;DAKA;MERRIN;NIGHTSISTERZOMBIE;99;1850;64.45;Season 78 - 5v5;;
